0212_uav.csv
x,y,z,r,p,y,ori,ms,dpth,t
-1.96944,0.583374,0.651557,1.68337,2.9594,2.96404,1.46015,0,0,15.9639,
-1.97605,0.510829,0.651978,1.73681,2.9515,2.9631,1.40789,0,0,16.0098,
-1.97819,0.471903,0.652443,1.73155,2.95271,2.97303,1.41294,0,0,16.0227,
-1.90049,-0.204288,0.657708,2.13342,2.91734,2.94888,1.02598,0,0,16.3675,
-1.80498,-0.469813,0.661679,2.2738,2.87284,2.97286,0.898822,0,0,16.506,
-1.61041,-0.817234,0.669648,2.45259,2.90971,2.93386,0.731045,0,0,16.6951,
-1.54267,-0.911205,0.670261,2.52288,2.90125,2.96001,0.665946,0,0,16.7502,
-1.35077,-1.12359,0.673961,2.65364,2.92103,2.91605,0.557825,0,0,16.8786,
-1.26996,-1.19959,0.675483,2.706,2.91909,2.91272,0.517335,0,0,16.9267,
-1.13875,-1.30672,0.67789,2.77571,2.92693,2.88454,0.473645,0,0,17.0011,
-1.04257,-1.37479,0.678781,2.84176,2.93471,2.85907,0.44022,0,0,17.053,
-0.807302,-1.50733,0.679724,2.98088,2.95013,2.84984,0.371629,0,0,17.1853,
-0.733036,-1.53846,0.679786,3.00105,2.90957,2.86709,0.37341,0,0,17.2154,
-0.693004,-1.55445,0.679344,3.01249,2.9079,2.90807,0.344049,0,0,17.2316,
-0.126968,-1.67416,0.682976,0.155723,0.202349,-0.274889,0.385912,0,0,17.4972,
-0.00124197,-1.67706,0.682616,0.22524,0.226628,-0.271072,0.434247,0,0,17.5586,
0.0433306,-1.67557,0.683834,0.24104,0.194398,-0.284746,0.435299,0,0,17.5736,
0.0658045,-1.67474,0.683827,0.257994,0.182189,-0.281229,0.43729,0,0,17.5832,
0.176301,-1.66647,0.684009,0.31,0.180556,-0.275517,0.467931,0,0,17.6359,
0.220084,-1.66138,0.683856,0.333678,0.182522,-0.275439,0.485877,0,0,17.6537,
0.285407,-1.652,0.683848,0.370426,0.179594,-0.266866,0.50702,0,0,17.6876,
0.400801,-1.62904,0.682835,0.421559,0.179665,-0.250551,0.538674,0,0,17.7382,
1.30674,-1.13141,0.675772,0.926107,0.181163,-0.21435,0.983152,0,0,18.2372,
1.45128,-0.980558,0.672441,1.04475,0.183093,-0.195682,1.09271,0,0,18.3396,
1.51782,-0.900766,0.670312,1.09287,0.174331,-0.216484,1.14233,0,0,18.3727,
1.5763,-0.823564,0.670362,1.14956,0.193032,-0.201065,1.19789,0,0,18.4234,
1.62737,-0.750078,0.670789,1.17615,0.216267,-0.190557,1.22677,0,0,18.462,
1.63517,-0.738258,0.671027,1.1713,0.190642,-0.207452,1.21995,0,0,18.474,
1.64625,-0.722176,0.670892,1.20402,0.171315,-0.204219,1.24658,0,0,18.4855,
1.69801,-0.635013,0.671072,1.27552,0.132715,-0.254153,1.31934,0,0,18.5334,
1.69801,-0.635013,0.671072,1.27552,0.132715,-0.254153,1.31934,0,0,18.55,
1.72802,-0.581685,0.672495,1.31134,0.119797,-0.241814,1.34894,0,0,18.5661,
1.76419,-0.509637,0.673644,1.3415,0.138798,-0.237224,1.38116,0,0,18.6054,
1.89001,-0.190687,0.674763,1.5193,0.26031,-0.132574,1.55848,0,0,18.7777,
1.91911,-0.092162,0.674305,1.56712,0.238098,-0.167072,1.60769,0,0,18.8295,
1.92915,-0.0529884,0.673598,1.59894,0.222828,-0.179191,1.63827,0,0,18.8409,
1.95559,0.061086,0.671554,1.66429,0.206398,-0.198809,1.70303,0,0,18.9072,
1.98062,0.20965,0.668223,1.74137,0.194099,-0.220229,1.78044,0,0,18.9728,
1.9888,0.272066,0.66686,1.76789,0.193605,-0.223997,1.80709,0,0,19.0107,
1.99644,0.37466,0.663687,1.81797,0.202472,-0.226914,1.85848,0,0,19.0604,
1.99802,0.415267,0.663309,1.83165,0.186892,-0.241004,1.87157,0,0,19.0779,
1.98736,0.658062,0.657154,1.97554,0.217102,-0.244482,2.01919,0,0,19.1959,
1.98443,0.67824,0.656786,1.9762,0.216862,-0.255237,2.02181,0,0,19.2092,
1.92674,0.956197,0.652361,2.11229,0.239357,-0.237788,2.15636,0,0,19.3469,
1.91454,0.995002,0.652226,2.13588,0.234028,-0.248257,2.18044,0,0,19.3632,
1.87054,1.11003,0.652316,2.18751,0.236229,-0.269836,2.23545,0,0,19.4305,
1.85523,1.14789,0.652432,2.22185,0.249095,-0.239922,2.26608,0,0,19.4471,
1.20019,1.94409,0.653016,2.69962,0.245959,-0.173488,2.72591,0,0,19.9361,
1.12886,1.99391,0.654139,2.7635,0.195489,-0.219782,2.789,0,0,19.9726,
1.0544,2.04285,0.655346,2.79837,0.231111,-0.220724,2.82814,0,0,20.0137,
0.722413,2.21795,0.658677,2.97685,0.186772,-0.231748,3.00023,0,0,20.1832,
0.681903,2.23461,0.658581,2.99978,0.181851,-0.24439,3.02355,0,0,20.202,
0.661904,2.24264,0.658889,3.00211,0.16659,-0.227408,3.02236,0,0,20.2163,
0.641718,2.25061,0.658491,3.02156,0.152107,-0.262061,3.04279,0,0,20.2301,
0.546062,2.28412,0.657515,3.06228,0.151493,-0.261893,3.08697,0,0,20.271,
0.498571,2.2998,0.656786,3.08909,0.149563,-0.278349,3.11047,0,0,20.2926,
0.478116,2.30516,0.656939,3.10853,0.135065,-0.283249,3.12799,0,0,20.3048,
0.457555,2.31111,0.656276,3.11442,0.144744,-0.276181,3.13465,0,0,20.3189,
0.113668,2.37067,0.65023,0.146126,2.98026,2.88578,2.97657,0,0,20.4841,
0.0735345,2.37274,0.649246,0.166489,2.97108,2.90457,2.95673,0,0,20.5013,
0.0534872,2.37362,0.648945,0.172923,2.96512,2.90693,2.94989,0,0,20.5172,
0.0338668,2.374,0.64858,0.185443,2.97663,2.89161,2.93768,0,0,20.5366,
-0.121983,2.36876,0.644201,0.273062,2.97447,2.87127,2.84948,0,0,20.6072,
-0.141536,2.36728,0.644125,0.280235,2.9823,2.85816,2.84258,0,0,20.6205,
-0.180094,2.36382,0.643924,0.296258,2.98479,2.86229,2.82733,0,0,20.6359,
-0.351895,2.33513,0.641759,0.402541,2.94717,2.89768,2.72036,0,0,20.7247,
-0.427115,2.31704,0.641573,0.445074,2.94556,2.90126,2.67846,0,0,20.7696,
-0.464034,2.30655,0.640737,0.467542,2.95086,2.90106,2.65677,0,0,20.7887,
-0.482646,2.30111,0.641346,0.4801,2.94291,2.91202,2.64437,0,0,20.8003,
-0.519561,2.28951,0.640521,0.498311,2.93928,2.903,2.62542,0,0,20.8195,
-0.555939,2.27705,0.640171,0.522195,2.94217,2.90047,2.60195,0,0,20.8356,
-0.592565,2.26383,0.640136,0.527713,2.94063,2.88825,2.59554,0,0,20.857,
-0.628605,2.24983,0.640102,0.563727,2.93865,2.91701,2.56175,0,0,20.8787,
-0.806429,2.16838,0.639884,0.664423,2.91304,2.95845,2.46367,0,0,20.9756,
-0.841232,2.14998,0.639526,0.690244,2.91789,2.9589,2.43844,0,0,20.9927,
-0.841232,2.14998,0.639526,0.690244,2.91789,2.9589,2.43844,0,0,21.0046,
-0.893352,2.12122,0.63915,0.735131,2.92284,2.94608,2.39339,0,0,21.022,
-0.904413,2.11481,0.638942,0.714242,2.91259,2.97771,2.41601,0,0,21.0386,
-0.944366,2.09111,0.639094,0.75678,2.91071,2.98959,2.37488,0,0,21.0536,
-0.978192,2.06994,0.637982,0.776673,2.91044,2.96565,2.35324,0,0,21.0768,
-1.0118,2.04835,0.637483,0.800767,2.89252,2.98939,2.33091,0,0,21.0921,
-1.09556,1.99181,0.637989,0.853884,2.92811,2.95368,2.27687,0,0,21.1472,
-1.17666,1.93094,0.638004,0.878067,2.89715,2.99891,2.25551,0,0,21.1949,
-1.40896,1.72577,0.641049,1.04913,2.91891,2.98511,2.08578,0,0,21.3423,
-1.42386,1.71083,0.641216,1.06707,2.92231,2.95883,2.06654,0,0,21.3556,
-1.48129,1.65035,0.641864,1.10402,2.91968,2.97236,2.0308,0,0,21.3939,
-1.65345,1.44013,0.644978,1.23732,2.93142,2.95457,1.89872,0,0,21.5296,
-1.86605,1.07609,0.647982,1.44715,2.92874,2.91567,1.69169,0,0,21.7231,
-1.91205,0.963209,0.64925,1.52156,2.98911,2.89439,1.62127,0,0,21.7886,
-1.92336,0.931267,0.650359,1.5346,2.96571,2.88621,1.60772,0,0,21.8064,
-1.96309,0.795522,0.652007,1.60689,2.9154,2.90837,1.53568,0,0,21.8768,
-1.972,0.756867,0.652248,1.61345,2.91418,2.92708,1.52925,0,0,21.8965,
-1.99226,0.651155,0.653641,1.6651,2.88125,2.93791,1.47998,0,0,21.9487,
-1.99724,0.617945,0.654171,1.68209,2.88558,2.9362,1.4633,0,0,21.9633,
-1.99974,0.597923,0.654396,1.68831,2.87848,2.93507,1.45755,0,0,21.9789,
-2.01175,0.292466,0.657358,1.8461,2.8603,2.94581,1.30668,0,0,22.129,
-1.99563,0.125611,0.658516,1.92807,2.85204,2.95975,1.22915,0,0,22.2067,
-1.94882,-0.104831,0.658624,2.05001,2.85526,2.97483,1.11265,0,0,22.3208,
-1.9322,-0.167924,0.658277,2.10542,2.87388,2.96189,1.05743,0,0,22.3452,
-1.91907,-0.209547,0.658079,2.10513,2.8743,2.94589,1.05812,0,0,22.3683,
-1.63844,-0.791899,0.65649,2.43366,2.92237,2.94224,0.744448,0,0,22.6574,
-1.61278,-0.828965,0.656985,2.45147,2.91432,2.94529,0.729327,0,0,22.6713,
-1.56027,-0.902582,0.657089,2.49601,2.93852,2.91349,0.69045,0,0,22.7126,
-1.51842,-0.955879,0.657979,2.52681,2.94193,2.90397,0.664756,0,0,22.7461,
-1.48981,-0.990603,0.657992,2.54306,2.94331,2.91195,0.64817,0,0,22.7705,
-1.44358,-1.03998,0.659173,2.57829,2.96012,2.90762,0.615306,0,0,22.7984,
-1.3187,-1.16913,0.660172,2.67771,2.97677,2.86897,0.542074,0,0,22.8763,
-1.21895,-1.25704,0.660662,2.71641,2.96381,2.88464,0.507292,0,0,22.9314,
-1.20277,-1.27142,0.660656,2.74216,2.98311,2.88186,0.484055,0,0,22.9483,
-1.133,-1.32365,0.661015,2.76643,2.97783,2.85578,0.479837,0,0,22.9844,
-1.04345,-1.38459,0.661437,2.81724,2.97402,2.85215,0.447389,0,0,23.0364,
-1.02698,-1.39689,0.660657,2.82751,2.97713,2.83541,0.44992,0,0,23.0511,
-0.983762,-1.42206,0.661376,2.85536,2.97598,2.8337,0.434179,0,0,23.0706,
-0.907303,-1.46257,0.662451,2.89785,2.98266,2.8342,0.407999,0,0,23.1053,
-0.894724,-1.46885,0.662183,2.89217,2.981,2.84743,0.402473,0,0,23.1175,
-0.782015,-1.522,0.661968,2.94159,2.96339,2.83564,0.39217,0,0,23.1754,
-0.734522,-1.53965,0.661718,2.9731,2.92675,2.86294,0.376188,0,0,23.1954,
-0.721733,-1.54496,0.661677,2.99283,2.9381,2.84598,0.376088,0,0,23.205,
-0.66191,-1.56557,0.661409,3.01037,2.92233,2.87558,0.357698,0,0,23.2374,
-0.270416,-1.64048,0.663964,0.0871593,0.179884,-0.266034,0.338592,0,0,23.4241,
-0.164723,-1.64516,0.664328,0.140595,0.17643,-0.248725,0.344406,0,0,23.4753,
-0.136112,-1.64531,0.664393,0.150616,0.157441,-0.254479,0.343459,0,0,23.4897,
-0.0805284,-1.64473,0.664447,0.180776,0.180481,-0.236035,0.358156,0,0,23.5192,
-0.0171091,-1.64214,0.664237,0.220986,0.172405,-0.230581,0.374223,0,0,23.5418,
0.0248991,-1.63935,0.662981,0.228992,0.178135,-0.195985,0.360787,0,0,23.5706,
0.109539,-1.63178,0.663488,0.284759,0.183072,-0.206684,0.409223,0,0,23.6088,
0.214158,-1.61718,0.662657,0.338731,0.178132,-0.202276,0.445858,0,0,23.6552,
0.283239,-1.60526,0.662214,0.377397,0.173269,-0.201174,0.47449,0,0,23.6857,
0.324825,-1.5966,0.661493,0.394202,0.175469,-0.208756,0.493082,0,0,23.7033,
0.359133,-1.58909,0.661447,0.414068,0.171225,-0.211277,0.50914,0,0,23.7252,
0.386628,-1.58266,0.661059,0.425379,0.164743,-0.189553,0.506231,0,0,23.736,
0.400372,-1.57929,0.661051,0.426223,0.181163,-0.213469,0.524623,0,0,23.7504,
0.68924,-1.48856,0.660349,0.581184,0.195288,-0.185348,0.655096,0,0,23.8912,
0.780429,-1.4511,0.660466,0.630489,0.190174,-0.195423,0.70194,0,0,23.9328,
0.838296,-1.42474,0.660385,0.657974,0.178119,-0.17821,0.717578,0,0,23.9698,
0.933065,-1.37805,0.661181,0.710588,0.174212,-0.190096,0.769449,0,0,24.0147,
1.25085,-1.1771,0.663049,0.89712,0.186558,-0.206417,0.954681,0,0,24.1924,
1.37735,-1.07119,0.664111,0.981358,0.187584,-0.242699,1.04595,0,0,24.2768,
1.46563,-0.985307,0.666068,1.04027,0.189917,-0.235791,1.10084,0,0,24.3427,
1.49389,-0.955506,0.666555,1.06574,0.177027,-0.23929,1.12288,0,0,24.3556,
1.51651,-0.930588,0.667006,1.08825,0.175604,-0.229017,1.14143,0,0,24.3728,
1.58651,-0.847164,0.667282,1.1477,0.187469,-0.232349,1.20258,0,0,24.4289,
1.62409,-0.799119,0.667499,1.18777,0.166886,-0.243444,1.23918,0,0,24.4614,
1.70075,-0.687436,0.667818,1.23199,0.226285,-0.207777,1.28752,0,0,24.525,
1.75608,-0.595201,0.667832,1.2867,0.21742,-0.209415,1.33876,0,0,24.5732,
1.80421,-0.50557,0.667119,1.36615,0.218488,-0.21989,1.41863,0,0,24.6277,
1.81308,-0.487394,0.667112,1.37925,0.210175,-0.222228,1.42999,0,0,24.6398,
1.85321,-0.401173,0.66667,1.4508,0.182327,-0.263502,1.50279,0,0,24.6822,
1.93066,-0.183713,0.665414,1.52137,0.238103,-0.220053,1.57422,0,0,24.7991,
1.97714,0.0152934,0.664904,1.62969,0.228053,-0.227834,1.67936,0,0,24.8985,
1.98415,0.0563121,0.66489,1.67024,0.223265,-0.232639,1.71899,0,0,24.9129,
2.00688,0.429839,0.663566,1.86032,0.245907,-0.208681,1.90481,0,0,25.0942,
2.00227,0.515369,0.663578,1.89185,0.255333,-0.210373,1.93786,0,0,25.1312,
1.99995,0.535346,0.663443,1.88595,0.250452,-0.213362,1.93172,0,0,25.1492,
1.99106,0.621027,0.663949,1.93334,0.252524,-0.212864,1.97849,0,0,25.1886,
1.9838,0.662835,0.664656,1.96457,0.253728,-0.23254,2.0132,0,0,25.2054,
1.9698,0.755511,0.665421,2.00541,0.228212,-0.23775,2.04936,0,0,25.2459,
1.91973,0.958188,0.666406,2.10892,0.205268,-0.249146,2.14888,0,0,25.3469,
1.90412,1.00614,0.666508,2.13543,0.213021,-0.236465,2.17418,0,0,25.3672,
1.89879,1.01939,0.666294,2.14363,0.211282,-0.23879,2.18234,0,0,25.3794,
1.85404,1.14018,0.66578,2.20794,0.1931,-0.266814,2.24701,0,0,25.4339,
1.2926,1.90126,0.671145,2.67113,0.198181,-0.245563,2.70125,0,0,25.8898,
1.25428,1.93202,0.671455,2.69518,0.191682,-0.252269,2.72488,0,0,25.9217,
1.21008,1.96641,0.6723,2.72091,0.198781,-0.230075,2.74857,0,0,25.9382,
0.964568,2.11975,0.674001,2.86962,0.161137,-0.274665,2.89509,0,0,26.0743,
0.946495,2.12946,0.674041,2.88136,0.161883,-0.292931,2.90858,0,0,26.0878,
0.816767,2.18927,0.675004,2.95208,0.181756,-0.260956,2.97807,0,0,26.1556,
0.797791,2.19677,0.675385,2.96369,0.192387,-0.254283,2.99029,0,0,26.1701,
0.740961,2.21789,0.67589,2.98914,0.194679,-0.239667,3.01418,0,0,26.1924,
0.721861,2.22466,0.675303,2.99719,0.211106,-0.232455,3.02339,0,0,26.209,
0.702713,2.23127,0.676393,3.01906,0.202357,-0.233255,3.04402,0,0,26.2224,
0.586735,2.26517,0.676764,3.07344,0.205622,-0.211533,3.09585,0,0,26.274,
0.468974,2.29229,0.676366,3.14008,0.1962,-0.226446,3.12096,0,0,26.3364,
0.389999,2.30674,0.67614,0.0348251,2.95924,2.91257,3.08633,0,0,26.3711,
0.349715,2.31277,0.675818,0.0588527,2.93867,2.9352,3.06248,0,0,26.3978,
0.26958,2.32245,0.675325,0.0960002,2.95074,2.92058,3.02559,0,0,26.4399,
0.128154,2.33212,0.673703,0.173888,2.92596,2.95044,2.94896,0,0,26.5036,
-0.0329737,2.33234,0.671273,0.240074,2.94151,2.98168,2.88753,0,0,26.585,
-0.0731286,2.33024,0.66991,0.281593,2.94428,2.94872,2.84371,0,0,26.6033,
-0.571873,2.24735,0.663456,0.53778,2.93111,2.94746,2.58907,0,0,26.8565,
-0.629921,2.22982,0.662298,0.56862,2.93296,2.94814,2.55874,0,0,26.8912,
-0.783111,2.1747,0.660065,0.651372,2.93487,2.94552,2.47684,0,0,26.97,
-0.820603,2.15975,0.659568,0.668088,2.94719,2.94595,2.46111,0,0,26.9869,
-0.913801,2.11763,0.657643,0.724347,2.92297,2.94589,2.40404,0,0,27.0335,
-0.932209,2.10873,0.65737,0.735052,2.92984,2.93907,2.39339,0,0,27.0446,
-1.01139,2.06864,0.656669,0.774906,2.93174,2.94062,2.35424,0,0,27.0909,
-1.47984,1.7192,0.649938,1.07508,2.91955,2.91366,2.05632,0,0,27.3793,
-1.53579,1.65883,0.650055,1.09805,2.90217,2.91934,2.03328,0,0,27.4123,
-1.55411,1.63818,0.649688,1.13017,2.89072,2.92645,2.00178,0,0,27.4226,
-1.67688,1.47923,0.650887,1.20817,2.8726,2.9398,1.92582,0,0,27.5256,
-1.91156,1.00375,0.656665,1.47866,2.91305,2.92115,1.66073,0,0,27.7802,
-1.95476,0.851628,0.657043,1.55827,2.91142,2.94233,1.58327,0,0,27.8433,
-1.97386,0.766447,0.656893,1.60771,2.88931,2.95236,1.53581,0,0,27.8835,
-1.98779,0.688039,0.656373,1.64347,2.88816,2.96045,1.50125,0,0,27.9286,
-2.01735,0.295284,0.653596,1.82032,2.91892,2.9574,1.3276,0,0,28.1018,
-2.01216,0.162782,0.653478,1.88721,2.91295,2.9457,1.2632,0,0,28.1703,
-1.99565,0.0101083,0.652817,1.9561,2.91288,2.94928,1.19656,0,0,28.232,
-1.97665,-0.0975614,0.652742,2.01662,2.91896,2.94212,1.13809,0,0,28.2844,
-1.93502,-0.267676,0.652833,2.09537,2.94757,2.88715,1.06568,0,0,28.3666,
-1.91516,-0.329609,0.653675,2.13296,2.93985,2.90544,1.02826,0,0,28.3935,
-1.90138,-0.370555,0.654027,2.1646,2.93298,2.9075,0.998521,0,0,28.4122,
-1.68577,-0.7925,0.654897,2.41699,2.95701,2.87419,0.76813,0,0,28.6326,
-1.64392,-0.851294,0.654289,2.45095,2.93351,2.89751,0.735169,0,0,28.6676,
-1.63533,-0.862558,0.654167,2.45496,2.94092,2.88763,0.732739,0,0,28.6867,
-1.52518,-0.99477,0.651631,2.52312,2.95513,2.88292,0.671507,0,0,28.7582,
-1.49576,-1.02518,0.650941,2.55677,2.92958,2.90689,0.640231,0,0,28.774,
-1.4808,-1.04078,0.650718,2.56869,2.91964,2.91597,0.629882,0,0,28.7857,
0.0535934,-1.62462,0.645328,0.259469,0.171267,-0.238499,0.40437,0,0,29.5759,
0.252961,-1.61012,0.645611,0.342888,0.166714,-0.2188,0.452655,0,0,29.6703,
0.30975,-1.60257,0.645673,0.373245,0.173105,-0.19979,0.470311,0,0,29.6909,
0.330985,-1.59997,0.645204,0.386892,0.17182,-0.208185,0.485153,0,0,29.7052,
0.352217,-1.59669,0.645521,0.394823,0.184425,-0.20589,0.496154,0,0,29.7206,
0.659763,-1.52299,0.645763,0.554818,0.145804,-0.242534,0.636681,0,0,29.8702,
0.927476,-1.4141,0.647541,0.699197,0.179229,-0.232523,0.774942,0,0,30.0039,
1.11007,-1.31,0.648489,0.806371,0.189557,-0.234036,0.878408,0,0,30.1036,
1.16069,-1.27564,0.648688,0.832088,0.191473,-0.219987,0.898546,0,0,30.138,
1.18838,-1.25596,0.648457,0.850578,0.194859,-0.2233,0.918058,0,0,30.1538,
1.27882,-1.18641,0.650169,0.910525,0.205446,-0.227625,0.979244,0,0,30.3256,
