1130_4_led.csv
x,y,z,r,p,y,ori,ms,dpth,t
0.822317,1.50164,0.54515,-0.0159307,0.0682575,-2.52965,2.5295,0.0160749,2.15226,5.34096,
0.816065,1.49272,0.539122,-0.00828988,-0.00875986,-2.54953,2.54958,0.0144665,2.15447,5.36653,
0.811873,1.48332,0.537288,-0.0200561,-0.00328335,-2.60055,2.60061,0.0146761,2.15889,5.39339,
0.826421,1.50143,0.539087,-0.0156283,-0.00911154,-2.55218,2.55228,0.0142763,2.16105,5.42244,
0.818634,1.48965,0.53856,-0.0145439,0.0109858,-2.61166,2.6116,0.0169697,2.16769,5.45223,
0.845168,1.52002,0.541339,-0.0149831,-0.00751739,-2.55072,2.5508,0.0151112,2.16769,5.47936,
0.851391,1.52396,0.539521,-0.00678815,-0.0659131,-2.58922,2.58976,0.0156758,2.17383,5.50949,
0.853417,1.5295,0.545654,0.0110267,0.0121027,-2.53902,2.53911,0.0150752,2.17806,5.53579,
0.856617,1.53298,0.541459,0.000508554,-0.042282,-2.54943,2.54955,0.0156367,2.17972,5.56434,
0.861162,1.53553,0.540421,0.00977955,-0.0647784,-2.56755,2.56755,0.0158405,2.18242,5.59608,
0.854902,1.53,0.540935,-0.00470122,-0.0270795,-2.56253,2.56265,0.0149801,2.189,5.61978,
0.867958,1.55162,0.543699,0.00597103,-0.0291112,-2.46841,2.4684,0.0162742,2.19129,5.64926,
0.869774,1.549,0.542175,-0.000638664,-0.0496606,-2.51857,2.51879,0.0173841,2.19341,5.681,
0.87148,1.55227,0.542477,-0.00119743,-0.0546338,-2.49673,2.49701,0.0260952,2.20066,5.71697,
0.883427,1.56506,0.546766,0.00507446,-0.000786038,-2.47543,2.47543,0.0257635,2.20337,5.74536,
0.869846,1.5477,0.541794,-0.0113918,-0.0297626,-2.53532,2.53557,0.0164647,2.2062,5.76469,
0.850814,1.54414,0.543149,0.00863972,0.0229617,-2.39718,2.39734,0.0154302,2.20762,5.78974,
0.880029,1.56338,0.544906,0.00114889,-0.0131253,-2.47083,2.47083,0.0145929,2.21196,5.81456,
0.8942,1.56176,0.55347,-0.00847884,0.0724962,-2.6523,2.65232,0.0297229,2.2184,5.86016,
0.91784,1.58568,0.555586,0.00121905,0.046763,-2.63689,2.63705,0.0178552,2.2184,5.88167,
0.906531,1.57283,0.553945,-0.00203855,0.0560284,-2.65323,2.65337,0.019402,2.22533,5.90555,
0.856612,1.53783,0.543307,-0.00107903,0.0094662,-2.55751,2.55751,0.0202663,2.22533,5.93593,
0.864292,1.54538,0.54156,-0.0087895,-0.0217757,-2.5474,2.54754,0.0217311,2.23215,5.96277,
0.867618,1.54763,0.542406,-0.0103138,-0.012955,-2.56084,2.56093,0.0235229,2.23488,5.99137,
0.862064,1.54744,0.544667,-0.000856145,0.0204512,-2.51679,2.51682,0.0246584,2.23905,6.02205,
0.878171,1.55985,0.545857,-0.00749698,-0.0109859,-2.55727,2.55733,0.0213308,2.24183,6.04863,
0.870681,1.55454,0.543336,-0.00530841,-0.0152034,-2.5253,2.52536,0.0154853,2.24577,6.06888,
0.874799,1.55867,0.54511,-0.0111128,0.00461018,-2.52158,2.52157,0.0144324,2.24705,6.0942,
0.890993,1.57647,0.544786,-0.00403215,-0.0376488,-2.50201,2.5022,0.015542,2.25185,6.12338,
0.890093,1.57825,0.548346,0.00519897,-0.00144182,-2.49771,2.49771,0.0154879,2.25667,6.15229,
0.890481,1.57481,0.546268,-0.00700338,-0.0221664,-2.5496,2.54972,0.0150898,2.25667,6.17891,
0.896345,1.58067,0.547145,-0.0085614,-0.00202928,-2.54572,2.54573,0.0170436,2.26253,6.20871,
0.919555,1.60415,0.550688,-0.00306281,-0.0178193,-2.54827,2.54833,0.018296,2.26651,6.2384,
0.915392,1.60583,0.548839,-0.0037816,-0.0286659,-2.48119,2.48132,0.0150757,2.26719,6.26291,
0.913519,1.60968,0.550812,-0.00313986,0.00711465,-2.43037,2.43036,0.014519,2.27135,6.29119,
0.917992,1.61215,0.552576,0.00183476,0.00645112,-2.46024,2.46025,0.0133448,2.27446,6.31677,
0.923715,1.61243,0.556334,-0.0186705,0.0649659,-2.5289,2.52866,0.0158191,2.27769,6.3473,
0.930039,1.62146,0.555503,-0.00443245,0.0301958,-2.49071,2.49072,0.0151124,2.28155,6.37658,
0.953238,1.6315,0.563053,-0.0226691,0.103997,-2.62503,2.6246,0.014811,2.28213,6.40284,
0.967373,1.64521,0.562403,-0.0161418,0.0587151,-2.62511,2.62488,0.0151074,2.288,6.42998,
0.905506,1.60032,0.552516,-0.0100943,0.048745,-2.4933,2.49326,0.0159523,2.28905,6.45996,
0.926813,1.62551,0.553678,0.00397552,-3.83872e-05,-2.46746,2.46746,0.013144,2.28905,6.48493,
0.926985,1.62277,0.550709,-0.0122139,-0.01741,-2.5029,2.50304,0.0155489,2.29759,6.51458,
0.919872,1.61377,0.547669,-0.00180971,-0.0626812,-2.52524,2.52561,0.0157645,2.30066,6.54494,
0.939547,1.64202,0.549391,0.00437047,-0.0850138,-2.43341,2.4339,0.0160501,2.30435,6.57128,
0.953669,1.64535,0.555008,-0.024585,-0.00512591,-2.57043,2.57054,0.0151117,2.30435,6.59745,
0.979066,1.67328,0.560579,-0.0143678,0.00210871,-2.53822,2.53822,0.0149603,2.30993,6.6268,
0.967085,1.66904,0.557851,-0.0161764,-0.00978443,-2.46964,2.46975,0.0172014,2.31359,6.65606,
0.926367,1.62677,0.551625,-0.0117843,-0.0148392,-2.50701,2.50712,0.0143478,2.31627,6.68052,
0.941533,1.64203,0.554109,-0.0106711,-0.00380764,-2.50638,2.50641,0.0152998,2.31867,6.71063,
0.930797,1.63269,0.55383,-0.00729651,0.00386569,-2.48857,2.48856,0.0164671,2.32288,6.73957,
0.948572,1.65049,0.556281,-0.0098321,0.00256398,-2.48721,2.48721,0.0162849,2.32616,6.7698,
0.939619,1.63874,0.553267,-0.0072009,-0.0362655,-2.55897,2.5592,0.016597,2.33455,6.83959,
0.934285,1.63451,0.550009,-0.0096547,-0.0576918,-2.56247,2.563,0.0195198,2.33873,6.91256,
0.960509,1.663,0.551841,0.000307597,-0.0818241,-2.53845,2.53895,0.0184982,2.34475,6.94955,
0.974474,1.67982,0.556565,-0.00429873,-0.0369921,-2.50683,2.50702,0.0165329,2.34475,6.96954,
0.959679,1.66649,0.55526,0.0011098,-0.0333702,-2.49007,2.49015,0.016191,2.34475,6.99147,
0.978963,1.68909,0.562485,-0.000430559,0.0101908,-2.47066,2.47067,0.0184498,2.35419,7.02227,
0.956777,1.66514,0.557212,-0.00654625,-0.0108592,-2.50542,2.50547,0.016911,2.35487,7.04994,
0.959089,1.66461,0.557628,-0.0111801,0.00224854,-2.53413,2.53413,0.0152922,2.3591,7.07323,
0.960279,1.66922,0.556449,-0.00581045,-0.0141174,-2.49146,2.49152,0.0159478,2.3619,7.10294,
0.966729,1.67444,0.555273,-0.00767449,-0.0553499,-2.52045,2.52091,0.0152318,2.36293,7.12865,
0.957356,1.66507,0.553822,-0.0166678,-0.0434948,-2.51309,2.51363,0.0150626,2.36777,7.1578,
0.978784,1.67295,0.560497,-0.0206169,0.0160704,-2.64317,2.64305,0.015548,2.36997,7.18559,
0.99034,1.69883,0.560416,-0.0122331,-0.0213863,-2.51565,2.51583,0.0146761,2.37287,7.20933,
1.0169,1.73218,0.565712,-0.0128496,-0.0109639,-2.45159,2.45169,0.0141542,2.37633,7.23955,
0.988071,1.6861,0.556277,-0.0200523,-0.0850005,-2.63709,2.63843,0.0155158,2.37993,7.26757,
0.966664,1.67461,0.555083,-0.0257921,-0.0564897,-2.54982,2.55084,0.0151744,2.38063,7.29377,
0.983189,1.69387,0.553715,-0.0216734,-0.104878,-2.51446,2.51652,0.013468,2.38214,7.32102,
0.973379,1.68227,0.551382,-0.0234255,-0.119394,-2.54197,2.54451,0.0152717,2.38507,7.35041,
0.994846,1.70735,0.556771,-0.0235022,-0.0991991,-2.51785,2.51986,0.0164106,2.39024,7.38312,
0.999312,1.71404,0.558713,-0.0162759,-0.0797069,-2.48594,2.48715,0.0146806,2.39244,7.40902,
0.989354,1.70027,0.554803,-0.0234137,-0.0946702,-2.52887,2.53073,0.0157132,2.39756,7.43825,
0.999584,1.71227,0.559056,-0.026111,-0.0624855,-2.50759,2.50878,0.0145631,2.39927,7.46342,
1.01798,1.72177,0.561722,-0.0192819,-0.0741146,-2.5916,2.59272,0.0170445,2.40216,7.49458,
1.01893,1.72395,0.565532,-0.0218153,-0.0133936,-2.58285,2.58304,0.0152113,2.40394,7.5195,
0.997064,1.71287,0.56008,-0.0252793,-0.0488312,-2.49027,2.49115,0.0150554,2.40743,7.54928,
