1130_4_led.csv
x,y,z,st_x,st_y,st_z,r,p,y,ori,ms,dpth,t
0.796106,1.47386,0.540362,0,0,0,-0.0127064,0.0470611,-2.55728,2.55716,0.0143495,2.13705,6.54482,
0.810724,1.49199,0.539789,0,0,0,-0.006716,0.0145453,-2.52371,2.52368,0.00897551,2.14005,6.55708,
0.843103,1.52527,0.542322,0,0,0,-0.000234104,-0.0202833,-2.47612,2.47616,0.00806808,2.14005,6.57161,
0.826768,1.50671,0.544375,0,0,0,-5.74789e-05,0.0448623,-2.51377,2.51393,0.0181751,2.14913,6.5984,
0.822308,1.50169,0.545075,0,0,0,-0.0158881,0.0682091,-2.52964,2.52948,0.0150509,2.15447,6.61743,
0.816508,1.49245,0.538325,0,0,0,-0.00878842,-0.00936561,-2.54976,2.54981,0.00802779,2.15666,6.62745,
0.811873,1.48332,0.537288,0,0,0,-0.0200561,-0.00328335,-2.60055,2.60061,0.00867701,2.15889,6.63812,
0.826421,1.50143,0.539087,0,0,0,-0.0156283,-0.00911154,-2.55218,2.55228,0.00879049,2.16105,6.65564,
0.818634,1.48965,0.53856,0,0,0,-0.0145439,0.0109858,-2.61166,2.6116,0.0177045,2.16769,6.68185,
0.845159,1.52004,0.541515,0,0,0,-0.0150062,-0.00743642,-2.55069,2.55077,0.00925827,2.17067,6.69476,
0.851391,1.52396,0.539521,0,0,0,-0.00678815,-0.0659131,-2.58922,2.58976,0.011431,2.17383,6.70979,
0.853417,1.5295,0.545654,0,0,0,0.0110267,0.0121027,-2.53902,2.53911,0.0111325,2.17806,6.72572,
0.857057,1.53281,0.540722,0,0,0,0.000189813,-0.0428102,-2.54969,2.54983,0.0124328,2.18242,6.74418,
0.861162,1.53553,0.540421,0,0,0,0.00977955,-0.0647784,-2.56755,2.56755,0.00987959,2.18242,6.75986,
0.854902,1.53,0.540935,0,0,0,-0.00470122,-0.0270795,-2.56253,2.56265,0.00935698,2.189,6.77436,
0.867958,1.55162,0.543699,0,0,0,0.00597103,-0.0291112,-2.46841,2.4684,0.00977015,2.19341,6.79177,
0.869774,1.549,0.542175,0,0,0,-0.000638664,-0.0496606,-2.51857,2.51879,0.0105288,2.19341,6.81052,
0.87148,1.55227,0.542477,0,0,0,-0.00119743,-0.0546338,-2.49673,2.49701,0.0094893,2.20008,6.82554,
0.883438,1.56503,0.54685,0,0,0,0.00523364,-0.00073624,-2.47547,2.47547,0.00953984,2.20337,6.84149,
0.86986,1.54773,0.541566,0,0,0,-0.0113263,-0.0298824,-2.53532,2.53557,0.0152798,2.20762,6.86594,
0.850814,1.54414,0.543149,0,0,0,0.00863972,0.0229617,-2.39718,2.39734,0.0100422,2.20762,6.88051,
0.879831,1.56336,0.54506,0,0,0,0.00109896,-0.0130804,-2.47075,2.47075,0.0194714,2.21689,6.9041,
0.8942,1.56176,0.55347,0,0,0,-0.00847884,0.0724962,-2.6523,2.65232,0.00878882,2.2184,6.91493,
0.91784,1.58568,0.555586,0,0,0,0.00121905,0.046763,-2.63689,2.63705,0.0102086,2.2184,6.92852,
0.906531,1.57283,0.553945,0,0,0,-0.00203855,0.0560284,-2.65323,2.65337,0.0203753,2.22533,6.95509,
0.856612,1.53783,0.543307,0,0,0,-0.00107903,0.0094662,-2.55751,2.55751,0.0119302,2.22681,6.97122,
0.864292,1.54538,0.54156,0,0,0,-0.0087895,-0.0217757,-2.5474,2.54754,0.0145385,2.23215,6.98838,
0.867077,1.54794,0.543254,0,0,0,-0.0102999,-0.0129445,-2.56085,2.56094,0.0111706,2.23778,7.00237,
0.862064,1.54744,0.544667,0,0,0,-0.000856145,0.0204512,-2.51679,2.51682,0.00965261,2.23905,7.0152,
0.878171,1.55985,0.545857,0,0,0,-0.00749698,-0.0109859,-2.55727,2.55733,0.00875473,2.24183,7.02643,
0.870595,1.55465,0.543237,0,0,0,-0.00543961,-0.0152657,-2.52521,2.52528,0.00973821,2.24577,7.04363,
0.874799,1.55867,0.54511,0,0,0,-0.0111128,0.00461018,-2.52158,2.52157,0.0100758,2.24705,7.06024,
0.890993,1.57647,0.544786,0,0,0,-0.00403215,-0.0376488,-2.50201,2.5022,0.0102334,2.25185,7.07747,
0.890093,1.57825,0.548346,0,0,0,0.00519897,-0.00144182,-2.49771,2.49771,0.0104563,2.25667,7.09399,
0.890481,1.57481,0.546268,0,0,0,-0.00700338,-0.0221664,-2.5496,2.54972,0.00934768,2.25667,7.11026,
0.896345,1.58067,0.547145,0,0,0,-0.0085614,-0.00202928,-2.54572,2.54573,0.00929093,2.26253,7.12673,
0.919555,1.60415,0.550688,0,0,0,-0.00306281,-0.0178193,-2.54827,2.54833,0.00992393,2.26651,7.14366,
0.915392,1.60583,0.548839,0,0,0,-0.0037816,-0.0286659,-2.48119,2.48132,0.0104434,2.26719,7.16192,
0.913519,1.60968,0.550812,0,0,0,-0.00313986,0.00711465,-2.43037,2.43036,0.00969243,2.27135,7.17762,
0.917992,1.61215,0.552576,0,0,0,0.00183476,0.00645112,-2.46024,2.46025,0.00791216,2.27506,7.19186,
0.923715,1.61243,0.556334,0,0,0,-0.0186705,0.0649659,-2.5289,2.52866,0.00927734,2.27769,7.21066,
0.930039,1.62146,0.555503,0,0,0,-0.00443245,0.0301958,-2.49071,2.49072,0.0109246,2.28155,7.23004,
0.953238,1.6315,0.563053,0,0,0,-0.0226691,0.103997,-2.62503,2.6246,0.00941968,2.28213,7.24424,
0.967373,1.64521,0.562403,0,0,0,-0.0161418,0.0587151,-2.62511,2.62488,0.00929332,2.288,7.26049,
0.905506,1.60032,0.552516,0,0,0,-0.0100943,0.048745,-2.4933,2.49326,0.0094862,2.28905,7.27787,
0.926813,1.62551,0.553678,0,0,0,0.00397552,-3.83872e-05,-2.46746,2.46746,0.0100455,2.28905,7.29492,
0.926985,1.62277,0.550709,0,0,0,-0.0122139,-0.01741,-2.5029,2.50304,0.00904846,2.29759,7.31032,
0.919872,1.61377,0.547669,0,0,0,-0.00180971,-0.0626812,-2.52524,2.52561,0.0115831,2.30066,7.33127,
0.939547,1.64202,0.549391,0,0,0,0.00437047,-0.0850138,-2.43341,2.4339,0.00870609,2.30435,7.3435,
0.953706,1.64527,0.555344,0,0,0,-0.0243909,-0.00490263,-2.57052,2.57062,0.0101624,2.30813,7.36221,
0.979066,1.67328,0.560579,0,0,0,-0.0143678,0.00210871,-2.53822,2.53822,0.00993919,2.30993,7.37974,
0.967085,1.66904,0.557851,0,0,0,-0.0161764,-0.00978443,-2.46964,2.46975,0.00933599,2.31359,7.39415,
0.926367,1.62677,0.551625,0,0,0,-0.0117843,-0.0148392,-2.50701,2.50712,0.0089891,2.31627,7.41103,
0.941533,1.64203,0.554109,0,0,0,-0.0106711,-0.00380764,-2.50638,2.50641,0.0101368,2.31867,7.42942,
0.930797,1.63269,0.55383,0,0,0,-0.00729651,0.00386569,-2.48857,2.48856,0.00909352,2.32288,7.44477,
0.948572,1.65049,0.556281,0,0,0,-0.0098321,0.00256398,-2.48721,2.48721,0.0151396,2.32616,7.47337,
0.940198,1.63849,0.552225,0,0,0,-0.00767788,-0.0369491,-2.55921,2.55946,0.0294027,2.33806,7.53557,
0.934691,1.6343,0.549141,0,0,0,-0.0100329,-0.0582918,-2.56266,2.56322,0.0165341,2.34173,7.55575,
0.960509,1.663,0.551841,0,0,0,0.000307597,-0.0818241,-2.53845,2.53895,0.00914049,2.34475,7.56749,
0.974474,1.67982,0.556565,0,0,0,-0.00429873,-0.0369921,-2.50683,2.50702,0.00896931,2.34475,7.58056,
0.959425,1.66674,0.555588,0,0,0,0.00121839,-0.0331323,-2.4898,2.48987,0.0186861,2.35252,7.60722,
0.978963,1.68909,0.562485,0,0,0,-0.000430559,0.0101908,-2.47066,2.47067,0.0108275,2.35487,7.62246,
0.957236,1.66487,0.556147,0,0,0,-0.00702634,-0.0115092,-2.50568,2.50574,0.0136385,2.35716,7.63953,
0.959032,1.66463,0.557506,0,0,0,-0.0114275,0.00211324,-2.53403,2.53403,0.0152028,2.36085,7.65998,
0.960268,1.6693,0.556615,0,0,0,-0.005756,-0.0140004,-2.49143,2.49149,0.00992846,2.36293,7.67244,
0.966757,1.67443,0.555615,0,0,0,-0.00743742,-0.0551292,-2.52053,2.52098,0.0107996,2.36652,7.68635,
0.957356,1.66507,0.553822,0,0,0,-0.0166678,-0.0434948,-2.51309,2.51363,0.00967407,2.36777,7.69942,
0.978784,1.67295,0.560497,0,0,0,-0.0206169,0.0160704,-2.64317,2.64305,0.014478,2.36997,7.72001,
0.99034,1.69883,0.560416,0,0,0,-0.0122331,-0.0213863,-2.51565,2.51583,0.00999784,2.37524,7.73282,
1.0169,1.73218,0.565712,0,0,0,-0.0128496,-0.0109639,-2.45159,2.45169,0.0130892,2.37812,7.75368,
0.988214,1.68599,0.555806,0,0,0,-0.020056,-0.0852213,-2.63718,2.63852,0.0102561,2.37993,7.76638,
0.966664,1.67461,0.555083,0,0,0,-0.0257921,-0.0564897,-2.54982,2.55084,0.00820446,2.38063,7.77907,
0.983189,1.69387,0.553715,0,0,0,-0.0216734,-0.104878,-2.51446,2.51652,0.00985122,2.38214,7.79766,
0.973531,1.68226,0.551462,0,0,0,-0.0235841,-0.119422,-2.54192,2.54447,0.00937319,2.38895,7.81394,
0.994904,1.70729,0.556885,0,0,0,-0.0234199,-0.0990993,-2.5179,2.5199,0.014653,2.39196,7.8394,
0.999312,1.71404,0.558713,0,0,0,-0.0162759,-0.0797069,-2.48594,2.48715,0.0173633,2.39244,7.85958,
0.989354,1.70027,0.554803,0,0,0,-0.0234137,-0.0946702,-2.52887,2.53073,0.00863552,2.39756,7.87007,
0.998775,1.71263,0.560365,0,0,0,-0.0253315,-0.0617062,-2.50734,2.50849,0.0120358,2.40105,7.88497,
1.01798,1.72177,0.561722,0,0,0,-0.0192819,-0.0741146,-2.5916,2.59272,0.0100791,2.40216,7.90035,
1.01893,1.72395,0.565532,0,0,0,-0.0218153,-0.0133936,-2.58285,2.58304,0.00967383,2.40394,7.9142,
0.997649,1.71258,0.559235,0,0,0,-0.0256663,-0.0493317,-2.49052,2.49142,0.0106835,2.40842,7.93481,
0.970876,1.69658,0.553032,0,0,0,-0.0178442,-0.105401,-2.41423,2.41626,0.0093441,2.41081,7.95112,
