0212_led.csv
x,y,z,st_x,st_y,st_z,r,p,y,ori,ms,dpth,t
1.78654,1.21672,0.728998,1.44061,1.35421,0.666179,-0.215246,0.340173,2.20926,2.26549,0.0103292,1.32143,21.4657,
1.77124,1.25466,0.728721,1.41298,1.39295,0.666131,-0.212484,0.330095,2.24743,2.30031,0.00929642,1.31732,21.4772,
1.75474,1.28348,0.726816,1.39725,1.41325,0.666191,-0.199137,0.340031,2.24774,2.29957,0.00954604,1.31822,21.4904,
1.74034,1.32115,0.733471,1.37783,1.43748,0.665855,-0.202516,0.316849,2.28015,2.32795,0.015388,1.3201,21.5162,
1.7161,1.34868,0.724058,1.35169,1.47059,0.665714,-0.204347,0.291597,2.28596,2.32976,0.0101736,1.32102,21.5299,
1.71062,1.37651,0.731997,1.35169,1.47059,0.665714,-0.187666,0.358391,2.31263,2.36364,0.00915432,1.32174,21.5421,
1.66781,1.41937,0.718117,1.32839,1.49879,0.666218,-0.196081,0.35053,2.29931,2.35111,0.0125098,1.32392,21.562,
1.6597,1.46752,0.730502,1.27605,1.5573,0.667262,-0.196571,0.368337,2.36931,2.42258,0.0217288,1.32623,21.5921,
1.6575,1.48158,0.729289,1.27605,1.5573,0.667262,-0.204931,0.34081,2.37976,2.42994,0.00932598,1.32631,21.6032,
1.63686,1.50048,0.723559,1.25103,1.58356,0.66668,-0.216543,0.300013,2.3685,2.41444,0.00990844,1.32664,21.616,
1.61039,1.53542,0.72802,1.25103,1.58356,0.66668,-0.224567,0.363607,2.38125,2.43956,0.010505,1.32719,21.6294,
1.61683,1.548,0.729222,1.22536,1.60987,0.66688,-0.22294,0.352916,2.41761,2.47277,0.0122879,1.32774,21.645,
1.58147,1.5863,0.725341,1.19944,1.63565,0.667478,-0.2265,0.337613,2.42158,2.47475,0.0130692,1.32851,21.6652,
1.56312,1.6189,0.728688,1.17296,1.66049,0.668086,-0.217056,0.351373,2.46138,2.514,0.0156715,1.33022,21.6845,
1.54452,1.63722,0.728979,1.14574,1.68475,0.668556,-0.219762,0.350899,2.4668,2.51978,0.00993896,1.33232,21.6972,
1.54977,1.65987,0.7308,1.11821,1.70894,0.668171,-0.232504,0.367359,2.49356,2.55142,0.0142837,1.33182,21.7149,
1.50067,1.69751,0.721476,1.09004,1.73237,0.667683,-0.234928,0.330709,2.51899,2.57052,0.0131211,1.33341,21.732,
1.4741,1.71465,0.72242,1.09004,1.73237,0.667683,-0.242486,0.338233,2.49146,2.54642,0.0106304,1.33259,21.7448,
1.45037,1.74978,0.7216,1.05712,1.75864,0.667549,-0.229454,0.306516,2.54409,2.59011,0.0100968,1.33351,21.7605,
1.45194,1.77975,0.731087,1.04963,1.76394,0.667453,-0.233892,0.334596,2.58205,2.63262,0.0149143,1.33429,21.7847,
