0212_uav.csv
x,y,z,r,p,y,ori,ms,dpth,t
0.633858,2.28127,0.674182,-0.254751,0.219753,3.03587,3.06521,0,0,6.32869,
0.586855,2.29573,0.674934,-0.25781,0.2156,3.06246,3.09123,0,0,6.35317,
0.553421,2.30528,0.674944,-0.225193,0.224892,3.06905,3.09518,0,0,6.37776,
0.4848,2.32316,0.675789,-0.249645,0.208282,3.10159,3.128,0,0,6.40039,
0.450837,2.33067,0.676291,-0.242818,0.211682,3.12872,3.12871,0,0,6.42238,
0.409341,2.33927,0.676148,-0.251741,0.212527,-3.13002,3.10355,0,0,6.44443,
0.36077,2.34789,0.676514,-0.236604,0.215989,-3.11149,3.07822,0,0,6.46771,
0.305293,2.35703,0.676773,-0.240364,0.215357,-3.07552,3.0506,0,0,6.48877,
0.263502,2.36253,0.676174,-0.225638,0.224772,-3.06923,3.04488,0,0,6.51084,
0.221569,2.36753,0.676685,-0.247209,0.215523,-3.05014,3.02484,0,0,6.53092,
0.179551,2.37071,0.677113,-0.240358,0.201246,-3.01311,2.99059,0,0,6.55181,
0.137607,2.37332,0.676836,-0.220534,0.214871,-3.00141,2.97946,0,0,6.5739,
0.0955541,2.37508,0.676836,-0.21976,0.210422,-2.98365,2.96243,0,0,6.59456,
0.0532883,2.37628,0.676784,-0.224102,0.207314,-2.95735,2.93635,0,0,6.61545,
-0.00848814,2.37589,0.675039,-0.271545,0.205894,-2.91936,2.89475,0,0,6.63853,
-0.0517293,2.37507,0.676257,-0.249954,0.182591,-2.91694,2.89689,0,0,6.65875,
-0.0927786,2.37209,0.674638,-0.232051,0.205398,-2.87645,2.85589,0,0,6.6799,
-0.134966,2.36943,0.674926,-0.237818,0.209508,-2.85432,2.83311,0,0,6.70172,
-0.176872,2.36569,0.67482,-0.241075,0.205459,-2.83371,2.81291,0,0,6.72356,
-0.190686,2.3643,0.674775,-0.247716,0.199869,-2.8243,2.80367,0,0,6.74219,
-0.260446,2.35622,0.674508,-0.265169,0.183864,-2.80044,2.78061,0,0,6.76546,
-0.322425,2.34663,0.673353,-0.241756,0.197097,-2.75013,2.73119,0,0,6.78901,
-0.363843,2.33887,0.673727,-0.237563,0.20634,-2.74065,2.72124,0,0,6.81303,
-0.398168,2.33204,0.673534,-0.239488,0.19847,-2.72139,2.70284,0,0,6.83582,
-0.445922,2.32168,0.672745,-0.236488,0.185893,-2.69116,2.67441,0,0,6.85462,
-0.486231,2.31169,0.672883,-0.244783,0.186386,-2.67962,2.66242,0,0,6.87406,
-0.526845,2.30157,0.671988,-0.259524,0.182842,-2.66504,2.64749,0,0,6.89686,
-0.566739,2.28957,0.672364,-0.228918,0.203599,-2.63514,2.61796,0,0,6.9166,
-0.600199,2.2794,0.672634,-0.211849,0.205601,-2.62055,2.60462,0,0,6.93642,
-0.666095,2.25749,0.672298,-0.222471,0.204621,-2.58784,2.57161,0,0,6.95784,
-0.705341,2.24323,0.67169,-0.227814,0.202176,-2.57043,2.55425,0,0,6.97983,
-0.744161,2.22832,0.671687,-0.230885,0.201861,-2.55064,2.53454,0,0,7.00375,
-0.782743,2.2124,0.671581,-0.229053,0.200409,-2.52944,2.51384,0,0,7.02657,
-0.808114,2.20144,0.67152,-0.238924,0.192861,-2.51341,2.49807,0,0,7.04748,
-0.877419,2.16974,0.671213,-0.223125,0.205984,-2.47651,2.46153,0,0,7.07265,
-0.914328,2.1512,0.671002,-0.218239,0.219918,-2.46511,2.44959,0,0,7.09238,
-0.951102,2.13246,0.670585,-0.211447,0.205889,-2.42991,2.41627,0,0,7.11593,
-0.987776,2.11264,0.669781,-0.21612,0.202284,-2.41163,2.39817,0,0,7.13664,
-1.04139,2.08148,0.669515,-0.229685,0.19933,-2.38159,2.36797,0,0,7.15931,
-1.07633,2.05999,0.66919,-0.235832,0.184054,-2.35961,2.34716,0,0,7.18057,
-1.11187,2.03812,0.670029,-0.225277,0.193157,-2.34418,2.33173,0,0,7.20248,
-1.14586,2.01468,0.668521,-0.225814,0.190718,-2.31668,2.30473,0,0,7.22405,
-1.17968,1.99097,0.668812,-0.249387,0.192494,-2.30291,2.29001,0,0,7.24514,
-1.21317,1.96685,0.668621,-0.2451,0.195374,-2.29158,2.27879,0,0,7.26667,
-1.26173,1.92928,0.669808,-0.219892,0.200375,-2.24506,2.2337,0,0,7.28987,
-1.29366,1.90317,0.669998,-0.218056,0.209013,-2.22852,2.21696,0,0,7.31258,
