1130_4_led.csv
x,y,z,r,p,y,ori,ms,dpth,t
0.850814,1.54414,0.543149,0.00863972,0.0229617,-2.39718,2.39734,0.0158026,2.21196,7.64769,
0.879831,1.56336,0.54506,0.00109896,-0.0130804,-2.47075,2.47075,0.0171883,2.21689,7.66811,
0.8942,1.56176,0.55347,-0.00847884,0.0724962,-2.6523,2.65232,0.0171723,2.2184,7.68803,
0.917945,1.58569,0.555027,0.000884126,0.0463648,-2.63687,2.63703,0.0164416,2.22533,7.70794,
0.906531,1.57283,0.553945,-0.00203855,0.0560284,-2.65323,2.65337,0.021935,2.22533,7.73321,
0.864292,1.54538,0.54156,-0.0087895,-0.0217757,-2.5474,2.54754,0.019778,2.23215,7.75634,
0.867111,1.54795,0.543277,-0.00986244,-0.0123563,-2.56059,2.56067,0.0171263,2.23905,7.77742,
0.861697,1.54758,0.545477,-0.000341068,0.0210237,-2.51663,2.51666,0.0198591,2.24183,7.80148,
0.870694,1.55464,0.54293,-0.00553021,-0.0154438,-2.5252,2.52526,0.0161297,2.24705,7.82078,
0.874822,1.55864,0.545361,-0.0110119,0.00474821,-2.52164,2.52162,0.0165286,2.25185,7.84029,
0.890446,1.57671,0.545765,-0.00351272,-0.0369773,-2.50184,2.50201,0.0153584,2.25667,7.85893,
0.89009,1.57833,0.547986,0.00510848,-0.00162044,-2.49766,2.49766,0.0192287,2.25992,7.88178,
0.896345,1.58067,0.547145,-0.0085614,-0.00202928,-2.54572,2.54573,0.0153973,2.26253,7.90048,
0.919571,1.60413,0.550591,-0.00310341,-0.0178887,-2.54828,2.54833,0.0173192,2.26719,7.92072,
0.915445,1.60579,0.548781,-0.0037816,-0.0286659,-2.48119,2.48132,0.0145595,2.27135,7.93784,
0.912989,1.61,0.551257,-0.00289883,0.00741412,-2.43009,2.43008,0.0149627,2.27375,7.95521,
0.91797,1.61218,0.552833,0.00195919,0.00658874,-2.46023,2.46024,0.0161264,2.27769,7.97414,
0.924078,1.61218,0.555955,-0.0189317,0.064667,-2.52916,2.52891,0.0158534,2.28155,7.99287,
0.929993,1.62151,0.555364,-0.00447024,0.0300923,-2.49068,2.49069,0.0197427,2.28213,8.01517,
0.967413,1.64523,0.562262,-0.0162421,0.0586005,-2.62511,2.62488,0.0155456,2.28905,8.03298,
0.905506,1.60032,0.552516,-0.0100943,0.048745,-2.4933,2.49326,0.0159204,2.28905,8.05205,
0.926698,1.62539,0.553446,0.00397649,-0.000164733,-2.46745,2.46745,0.0178208,2.29759,8.07331,
0.926897,1.6227,0.551144,-0.0121143,-0.0171959,-2.5029,2.50304,0.0153823,2.30066,8.09187,
0.920046,1.61391,0.547358,-0.00193511,-0.0628648,-2.52518,2.52555,0.0182235,2.30435,8.11384,
0.953723,1.64529,0.5546,-0.02456,-0.00534451,-2.57049,2.5706,0.0167778,2.30813,8.13417,
0.979126,1.67328,0.560508,-0.0143197,0.00211387,-2.53822,2.53822,0.0176182,2.31188,8.15407,
0.967028,1.66911,0.557912,-0.0161009,-0.0097401,-2.46965,2.46976,0.0185585,2.31627,8.17528,
0.926488,1.62674,0.550714,-0.0118757,-0.0153336,-2.50708,2.5072,0.0159354,2.31867,8.19452,
0.941349,1.64204,0.55481,-0.0106526,-0.0034047,-2.50633,2.50636,0.0187933,2.32478,8.21726,
0.948572,1.65049,0.556281,-0.0098321,0.00256398,-2.48721,2.48721,0.0160532,2.32616,8.2363,
0.939619,1.63874,0.553267,-0.0072009,-0.0362655,-2.55897,2.5592,0.016175,2.33455,8.27668,
