1130_4_uav.csv
x,y,z,r,p,y,ori,ms,dpth,t
0.667289,1.36284,0.47593,-0.0825874,-0.0605318,-2.47673,2.48013,0,0,6.35103,
0.673739,1.3668,0.476272,-0.0917072,-0.0605727,-2.4745,2.47832,0,0,6.38808,
0.673739,1.3668,0.476272,-0.0917072,-0.0605727,-2.4745,2.47832,0,0,6.409,
0.682018,1.37167,0.476994,-0.0901822,-0.057367,-2.47684,2.48041,0,0,6.43235,
0.685169,1.37347,0.477278,-0.0792262,-0.0597133,-2.47755,2.48076,0,0,6.45201,
0.687978,1.37533,0.477382,-0.0941798,-0.0600021,-2.47623,2.48013,0,0,6.47426,
0.691187,1.37709,0.477785,-0.0790951,-0.0569798,-2.47618,2.47925,0,0,6.49519,
0.696604,1.38028,0.478145,-0.0811765,-0.0566683,-2.4771,2.48025,0,0,6.51329,
0.698429,1.38138,0.478368,-0.0781201,-0.0591397,-2.47717,2.48031,0,0,6.53723,
0.701918,1.38359,0.478582,-0.0867399,-0.0589444,-2.47745,2.48095,0,0,6.55854,
0.708089,1.38731,0.479027,-0.0926149,-0.0578099,-2.47645,2.48016,0,0,6.58086,
0.713013,1.39016,0.479507,-0.0796874,-0.0565667,-2.47703,2.48011,0,0,6.60566,
0.714255,1.39091,0.47956,-0.0816314,-0.0535555,-2.47578,2.47879,0,0,6.62427,
0.72036,1.39477,0.479947,-0.0901569,-0.053792,-2.47583,2.47921,0,0,6.64598,
0.723594,1.39652,0.480073,-0.0849988,-0.0545665,-2.47554,2.47874,0,0,6.66552,
0.727369,1.39882,0.480428,-0.0778943,-0.0536994,-2.477,2.47986,0,0,6.6851,
0.731637,1.40149,0.480621,-0.0866543,-0.0560992,-2.4774,2.48074,0,0,6.70608,
0.731637,1.40149,0.480621,-0.0866543,-0.0560992,-2.4774,2.48074,0,0,6.72749,
0.739133,1.40615,0.481043,-0.0814675,-0.0563403,-2.47818,2.48132,0,0,6.74653,
0.739133,1.40615,0.481043,-0.0814675,-0.0563403,-2.47818,2.48132,0,0,6.76549,
0.745502,1.41014,0.481397,-0.0826336,-0.0559575,-2.47722,2.48039,0,0,6.78418,
0.751113,1.41373,0.481766,-0.0785742,-0.0543954,-2.47814,2.48106,0,0,6.80388,
0.754157,1.41567,0.481964,-0.0850212,-0.054457,-2.47644,2.47963,0,0,6.82353,
0.758612,1.41856,0.482324,-0.0754123,-0.0540019,-2.47639,2.47917,0,0,6.84359,
0.759824,1.41937,0.482335,-0.0797517,-0.0545429,-2.47813,2.48111,0,0,6.8639,
0.765525,1.42317,0.482743,-0.0789383,-0.0551304,-2.47749,2.48047,0,0,6.8821,
0.768603,1.42519,0.482922,-0.0825168,-0.0551881,-2.47892,2.48205,0,0,6.90295,
0.773635,1.42871,0.483201,-0.0778257,-0.0567334,-2.47858,2.48159,0,0,6.92562,
0.77544,1.42995,0.483283,-0.0817622,-0.055992,-2.47972,2.48285,0,0,6.94406,
0.778428,1.43202,0.483706,-0.0775134,-0.0539779,-2.47975,2.48261,0,0,6.96344,
0.785319,1.43695,0.483887,-0.090874,-0.0553543,-2.48042,2.48391,0,0,6.98791,
0.78841,1.43893,0.484172,-0.0722266,-0.0532001,-2.48106,2.48367,0,0,7.02293,
0.801271,1.44847,0.484751,-0.0855973,-0.0549433,-2.4813,2.48453,0,0,7.07122,
0.801858,1.44896,0.484826,-0.082355,-0.0525597,-2.48165,2.48463,0,0,7.09372,
0.808038,1.45343,0.485148,-0.0797189,-0.0531241,-2.48376,2.48666,0,0,7.11427,
0.808658,1.45387,0.485236,-0.0794003,-0.0523359,-2.48373,2.48658,0,0,7.13416,
0.812893,1.45728,0.485219,-0.0602267,-0.0499771,-2.48889,2.49092,0,0,7.15736,
0.819032,1.46178,0.485533,-0.0751364,-0.0518103,-2.4875,2.49015,0,0,7.17676,
0.819032,1.46178,0.485533,-0.0751364,-0.0518103,-2.4875,2.49015,0,0,7.19598,
0.832066,1.47217,0.485948,-0.0783028,-0.0526811,-2.48845,2.49127,0,0,7.25145,
0.836278,1.47579,0.486011,-0.0825361,-0.0514454,-2.48871,2.49163,0,0,7.27542,
0.845526,1.48355,0.486253,-0.0799153,-0.0515427,-2.4908,2.49362,0,0,7.33125,
0.852414,1.48945,0.486336,-0.0816097,-0.0516699,-2.49158,2.49447,0,0,7.35997,
0.85635,1.49307,0.486528,-0.0785679,-0.052023,-2.49319,2.49597,0,0,7.37953,
0.859645,1.49601,0.486608,-0.0718727,-0.0517735,-2.49366,2.49618,0,0,7.39838,
0.861228,1.49752,0.486579,-0.061085,-0.0498268,-2.4985,2.50054,0,0,7.4178,
0.865104,1.50113,0.486664,-0.0742997,-0.0488863,-2.49371,2.49619,0,0,7.43723,
0.866108,1.50209,0.486638,-0.0589645,-0.048218,-2.49952,2.50142,0,0,7.45638,
0.872156,1.50765,0.486733,-0.0854943,-0.0510784,-2.49411,2.49713,0,0,7.48046,
0.874842,1.51022,0.486712,-0.0785192,-0.0519109,-2.49565,2.49843,0,0,7.50356,
0.876738,1.51234,0.486651,-0.0624074,-0.047291,-2.49834,2.50033,0,0,7.52385,
0.881568,1.51691,0.486716,-0.0586221,-0.0477374,-2.49924,2.50111,0,0,7.54551,
0.884491,1.52002,0.486785,-0.0757326,-0.0463614,-2.49783,2.50025,0,0,7.56749,
0.889245,1.52488,0.487026,-0.0649552,-0.046272,-2.49975,2.50178,0,0,7.5888,
0.891638,1.52733,0.48718,-0.071396,-0.0469494,-2.50095,2.50323,0,0,7.60825,
0.8945,1.53038,0.487355,-0.0670251,-0.0446522,-2.49979,2.50183,0,0,7.6275,
0.897486,1.53367,0.487419,-0.0813503,-0.0507126,-2.49745,2.50028,0,0,7.64772,
0.900745,1.53722,0.48758,-0.0830587,-0.0509616,-2.49589,2.4988,0,0,7.66815,
0.901695,1.53821,0.487719,-0.077811,-0.0488432,-2.49635,2.49896,0,0,7.68806,
0.906496,1.54363,0.487804,-0.0843012,-0.0480203,-2.49741,2.50022,0,0,7.70797,
0.906496,1.54363,0.487804,-0.0843012,-0.0480203,-2.49741,2.50022,0,0,7.73324,
0.910962,1.54871,0.488027,-0.0778093,-0.050413,-2.49579,2.49847,0,0,7.75638,
0.91548,1.55416,0.488147,-0.0936817,-0.0512902,-2.49539,2.49875,0,0,7.77747,
0.917269,1.55621,0.488392,-0.0829765,-0.0502344,-2.49607,2.49894,0,0,7.80153,
0.920688,1.5603,0.48864,-0.0946805,-0.049757,-2.49776,2.50107,0,0,7.82084,
0.923794,1.56403,0.489038,-0.0792902,-0.0487236,-2.49694,2.49959,0,0,7.84032,
0.926807,1.56774,0.489113,-0.0841337,-0.0500046,-2.49747,2.50037,0,0,7.85896,
0.928803,1.57037,0.489434,-0.0861489,-0.0495099,-2.49669,2.49965,0,0,7.88182,
0.930536,1.57244,0.489562,-0.0904475,-0.0449901,-2.49577,2.49865,0,0,7.90052,
0.933497,1.57612,0.489922,-0.0849918,-0.0506776,-2.49915,2.50211,0,0,7.92075,
0.936154,1.57942,0.490263,-0.0666306,-0.0457475,-2.5044,2.50646,0,0,7.93787,
0.937573,1.58125,0.49046,-0.0823406,-0.0515659,-2.49902,2.50192,0,0,7.95525,
0.940109,1.58437,0.490545,-0.084569,-0.0501626,-2.49836,2.50128,0,0,7.97417,
0.942483,1.58755,0.490813,-0.0846173,-0.0475368,-2.49626,2.49905,0,0,7.99293,
0.9428,1.58805,0.490781,-0.0691117,-0.0454396,-2.50221,2.50435,0,0,8.01523,
0.947192,1.59369,0.491086,-0.0625343,-0.0499254,-2.50319,2.50528,0,0,8.03302,
0.947192,1.59369,0.491086,-0.0625343,-0.0499254,-2.50319,2.50528,0,0,8.05208,
0.952396,1.60039,0.491399,-0.0868509,-0.0521421,-2.5006,2.50372,0,0,8.07335,
0.954267,1.6028,0.491627,-0.0867938,-0.0497057,-2.49679,2.49978,0,0,8.09189,
0.956697,1.6059,0.491726,-0.0852864,-0.0507313,-2.49953,2.50251,0,0,8.11388,
0.958969,1.60892,0.492056,-0.0857055,-0.0510639,-2.49903,2.50204,0,0,8.13421,
0.961324,1.61196,0.492191,-0.0967331,-0.0487874,-2.49373,2.49707,0,0,8.1541,
0.963918,1.6157,0.492406,-0.0806926,-0.047969,-2.50249,2.50515,0,0,8.17532,
0.965405,1.61754,0.492611,-0.088276,-0.0523064,-2.49997,2.50315,0,0,8.19457,
0.969209,1.6224,0.492712,-0.0889702,-0.0521744,-2.49897,2.50217,0,0,8.21729,
0.97006,1.62356,0.492748,-0.0822671,-0.0511493,-2.50228,2.50515,0,0,8.23633,
0.975281,1.63021,0.493177,-0.0862863,-0.0503864,-2.50099,2.50399,0,0,8.2767,
0.977863,1.63367,0.493276,-0.0938487,-0.0538258,-2.50012,2.50362,0,0,8.31611,
0.981515,1.63852,0.493504,-0.0799953,-0.0491353,-2.50239,2.50508,0,0,8.35991,
0.98763,1.64588,0.493898,-0.100659,-0.051383,-2.49721,2.50086,0,0,8.38124,
0.989494,1.64822,0.494,-0.0904807,-0.053808,-2.4993,2.50266,0,0,8.40192,
0.991831,1.651,0.494284,-0.0875436,-0.0540896,-2.4974,2.50065,0,0,8.42204,
0.993261,1.65267,0.49431,-0.0971319,-0.0541593,-2.49759,2.50125,0,0,8.44215,
0.996387,1.65648,0.494714,-0.0803899,-0.055134,-2.50214,2.50514,0,0,8.46393,
0.997861,1.65813,0.494937,-0.0884843,-0.0554613,-2.49604,2.4994,0,0,8.48343,
1.00136,1.66211,0.495175,-0.0893663,-0.0558584,-2.49644,2.49986,0,0,8.50352,
1.00316,1.66427,0.495396,-0.0886642,-0.0547106,-2.49489,2.49823,0,0,8.52397,
1.0047,1.66611,0.49553,-0.0737292,-0.0503216,-2.50169,2.5042,0,0,8.54502,
1.0057,1.66736,0.495716,-0.0916436,-0.0567885,-2.49577,2.49934,0,0,8.56705,
1.0103,1.67257,0.496118,-0.085278,-0.0492664,-2.49622,2.49913,0,0,8.58509,
1.01244,1.67457,0.496294,-0.0926605,-0.0575076,-2.49404,2.4977,0,0,8.60297,
1.01281,1.67507,0.496249,-0.0804534,-0.0532188,-2.49831,2.50122,0,0,8.62455,
1.0173,1.68005,0.496996,-0.0879943,-0.056101,-2.49366,2.49704,0,0,8.64244,
1.01919,1.68215,0.497184,-0.0875123,-0.0604072,-2.49316,2.49675,0,0,8.66215,
1.02047,1.68355,0.497054,-0.083936,-0.055223,-2.49617,2.49933,0,0,8.68321,
1.02362,1.68684,0.497547,-0.0947756,-0.058654,-2.49152,2.49534,0,0,8.70502,
1.02556,1.68884,0.4977,-0.0954182,-0.0599019,-2.49184,2.49576,0,0,8.7227,
1.02915,1.6925,0.498061,-0.0888685,-0.0567516,-2.48986,2.49332,0,0,8.74528,
1.03162,1.69489,0.49832,-0.0895545,-0.0569111,-2.48961,2.4931,0,0,8.76751,
1.03347,1.69701,0.498595,-0.0911317,-0.0592156,-2.49001,2.4937,0,0,8.79041,
1.03723,1.70049,0.49902,-0.0905037,-0.0613739,-2.48925,2.49303,0,0,8.81369,
1.03988,1.70346,0.499236,-0.0812755,-0.0581624,-2.49217,2.49537,0,0,8.83464,
1.04162,1.70504,0.499481,-0.0948219,-0.0612909,-2.48893,2.49291,0,0,8.85515,
1.04273,1.70616,0.499686,-0.0845702,-0.0646062,-2.49,2.49369,0,0,8.8761,
1.04689,1.71003,0.500021,-0.0948536,-0.0594394,-2.4863,2.49018,0,0,8.89588,
