0212_4_uav.csv
x,y,z,r,p,y,ori,ms,dpth,t
-1.40263,-0.447947,0.413308,0.698955,3.06229,3.10002,2.44172,0,0,23.6821,
-1.40257,-0.447018,0.414065,0.693863,3.07467,3.10364,2.44699,0,0,23.6988,
-1.40127,-0.443501,0.413705,0.700393,3.06072,3.10184,2.44033,0,0,23.7308,
-1.40009,-0.440336,0.413648,0.701945,3.06003,3.09235,2.43847,0,0,23.7508,
-1.39988,-0.439504,0.413889,0.697403,3.07065,3.09372,2.44316,0,0,23.7672,
-1.39873,-0.436683,0.41363,0.701299,3.06333,3.09614,2.43926,0,0,23.7834,
-1.39812,-0.435355,0.41406,0.698906,3.07225,3.08807,2.44153,0,0,23.8035,
-1.39707,-0.432582,0.414172,0.694302,3.0747,3.09213,2.44626,0,0,23.8213,
-1.3968,-0.431617,0.413794,0.692743,3.06603,3.09787,2.44789,0,0,23.8388,
-1.3955,-0.429168,0.413534,0.699072,3.06757,3.09249,2.44142,0,0,23.8555,
-1.39454,-0.427159,0.413593,0.697021,3.06398,3.09711,2.44357,0,0,23.8712,
-1.39414,-0.426158,0.413734,0.695988,3.06266,3.09992,2.44468,0,0,23.8835,
-1.39296,-0.42364,0.413607,0.69988,3.05827,3.09206,2.44051,0,0,23.9,
-1.39195,-0.421984,0.413613,0.695651,3.06029,3.0988,2.44497,0,0,23.9217,
-1.39137,-0.421018,0.41369,0.695757,3.06342,3.09859,2.44488,0,0,23.938,
-1.39043,-0.419321,0.413609,0.697492,3.06474,3.09222,2.44296,0,0,23.9685,
-1.39043,-0.419321,0.413609,0.697492,3.06474,3.09222,2.44296,0,0,23.9855,
-1.39043,-0.419321,0.413609,0.697492,3.06474,3.09222,2.44296,0,0,23.9981,
-1.38706,-0.413598,0.413575,0.696089,3.06147,3.09568,2.44444,0,0,24.0126,
-1.38609,-0.412008,0.413386,0.695429,3.06032,3.09874,2.44519,0,0,24.0276,
-1.38404,-0.409515,0.413193,0.700521,3.04973,3.11436,2.44066,0,0,24.0579,
-1.38291,-0.407225,0.413006,0.696742,3.05062,3.09207,2.44357,0,0,24.0754,
-1.38094,-0.404904,0.41322,0.699878,3.0576,3.08479,2.44027,0,0,24.1037,
-1.37923,-0.402529,0.412579,0.695055,3.06313,3.07901,2.44499,0,0,24.1217,
-1.37871,-0.401753,0.412617,0.69884,3.05937,3.0857,2.44136,0,0,24.1372,
-1.3774,-0.400319,0.412662,0.695965,3.05887,3.09282,2.44445,0,0,24.1539,
-1.37616,-0.398206,0.412648,0.696874,3.05796,3.0859,2.44331,0,0,24.1715,
-1.37584,-0.397976,0.412917,0.692957,3.0659,3.09539,2.4476,0,0,24.1885,
-1.37384,-0.395916,0.412783,0.702187,3.04763,3.10516,2.43862,0,0,24.2044,
-1.37347,-0.395117,0.413095,0.695809,3.05552,3.08798,2.44441,0,0,24.2198,
-1.37241,-0.39367,0.41281,0.697046,3.05336,3.08797,2.44315,0,0,24.2344,
-1.37117,-0.392179,0.412644,0.697186,3.04973,3.09044,2.44306,0,0,24.2483,
-1.36792,-0.388526,0.412594,0.700072,3.05834,3.09452,2.4404,0,0,24.2804,
-1.36686,-0.387124,0.412431,0.700799,3.05998,3.07774,2.43917,0,0,24.3018,
-1.36517,-0.385347,0.412357,0.697014,3.05615,3.08787,2.44321,0,0,24.3212,
-1.36421,-0.384164,0.412409,0.694703,3.05749,3.09278,2.44569,0,0,24.3379,
-1.36269,-0.382666,0.412355,0.695788,3.07046,3.07338,2.44426,0,0,24.3536,
-1.36152,-0.381528,0.412488,0.69706,3.06695,3.10334,2.44374,0,0,24.3682,
-1.36,-0.379561,0.41217,0.697679,3.0642,3.08518,2.44257,0,0,24.3828,
-1.35918,-0.37896,0.412188,0.69518,3.06438,3.09168,2.44525,0,0,24.3951,
-1.35787,-0.377672,0.413168,0.692412,3.06847,3.09905,2.44827,0,0,24.4108,
-1.35681,-0.376478,0.412724,0.698087,3.04939,3.08778,2.44206,0,0,24.4295,
-1.35491,-0.374554,0.412467,0.694203,3.06619,3.08903,2.44617,0,0,24.4495,
-1.35233,-0.371693,0.411855,0.695918,3.07132,3.1076,2.44503,0,0,24.4764,
-1.35054,-0.370494,0.411636,0.69455,3.05291,3.1146,2.44662,0,0,24.493,
-1.35051,-0.369634,0.411674,0.685921,3.07632,3.0907,2.45462,0,0,24.5062,
-1.34788,-0.367701,0.412326,0.691218,3.07152,3.11628,2.44999,0,0,24.5222,
-1.34693,-0.366453,0.412214,0.699649,3.08048,3.10474,2.44128,0,0,24.5399,
-1.34492,-0.364901,0.412588,0.681334,3.04977,3.11005,2.45965,0,0,24.5533,
-1.34377,-0.364199,0.413023,0.678576,3.04021,3.11436,2.46261,0,0,24.5666,
-1.34377,-0.364199,0.413023,0.678576,3.04021,3.11436,2.46261,0,0,24.5875,
-1.34159,-0.361606,0.412746,0.677555,3.05393,3.09934,2.46302,0,0,24.6046,
-1.34021,-0.360672,0.41326,0.691405,3.05569,3.11472,2.44976,0,0,24.6174,
-1.33867,-0.358561,0.413126,0.689908,3.06207,3.1028,2.45085,0,0,24.6344,
-1.33741,-0.357716,0.413492,0.688634,3.06284,3.10265,2.45212,0,0,24.652,
-1.33418,-0.354855,0.41461,0.686128,3.07321,3.10682,2.4548,0,0,24.6702,
-1.33118,-0.352239,0.414551,0.700897,3.0594,3.11109,2.44014,0,0,24.7037,
-1.33118,-0.352239,0.414551,0.700897,3.0594,3.11109,2.44014,0,0,24.7176,
-1.32731,-0.348693,0.414975,0.69278,3.06371,3.10168,2.44795,0,0,24.737,
-1.32571,-0.347554,0.415505,0.693989,3.06229,3.10521,2.44685,0,0,24.753,
-1.32355,-0.345688,0.415633,0.69347,3.05791,3.10497,2.44734,0,0,24.7701,
-1.32238,-0.344891,0.41613,0.698896,3.06327,3.09576,2.44165,0,0,24.7872,
-1.32006,-0.343067,0.416589,0.694808,3.07032,3.09087,2.44567,0,0,24.8036,
-1.31791,-0.341138,0.416678,0.696447,3.06902,3.0915,2.44403,0,0,24.8203,
-1.31705,-0.340518,0.417047,0.695513,3.06913,3.09961,2.44519,0,0,24.8369,
-1.31369,-0.33777,0.417285,0.695012,3.06571,3.09688,2.44559,0,0,24.8657,
-1.31304,-0.337266,0.417456,0.696063,3.06302,3.09454,2.44444,0,0,24.882,
-1.31064,-0.335318,0.417948,0.692623,3.06157,3.1023,2.44811,0,0,24.899,
-1.30886,-0.333437,0.417789,0.689676,3.06458,3.0892,2.45068,0,0,24.9128,
-1.30749,-0.332814,0.418069,0.701471,3.0562,3.10391,2.43931,0,0,24.9265,
-1.30488,-0.330672,0.418049,0.696655,3.06379,3.09563,2.44389,0,0,24.9418,
-1.30295,-0.329414,0.419162,0.693331,3.05382,3.10724,2.44756,0,0,24.9638,
-1.30129,-0.328077,0.419335,0.691404,3.0692,3.10242,2.44938,0,0,24.9803,
-1.29913,-0.326698,0.419428,0.697533,3.05795,3.11188,2.44353,0,0,24.996,
-1.2979,-0.325422,0.419024,0.694465,3.05838,3.09772,2.4461,0,0,25.0125,
-1.2979,-0.325422,0.419024,0.694465,3.05838,3.09772,2.4461,0,0,25.0283,
-1.29386,-0.322341,0.419678,0.691136,3.05533,3.10695,2.44974,0,0,25.0453,
-1.29003,-0.319571,0.420003,0.69714,3.05357,3.10616,2.44371,0,0,25.0731,
-1.28913,-0.319008,0.419997,0.691405,3.05675,3.1102,2.44959,0,0,25.0863,
-1.28547,-0.316107,0.419682,0.695567,3.05,3.1028,2.44515,0,0,25.1103,
-1.28435,-0.315303,0.420084,0.691161,3.06215,3.10366,2.44962,0,0,25.1262,
-1.2816,-0.313323,0.41989,0.696396,3.06269,3.08687,2.44388,0,0,25.1433,
-1.27949,-0.311805,0.420434,0.691953,3.05106,3.11107,2.44908,0,0,25.1618,
-1.27815,-0.311062,0.420582,0.695135,3.06289,3.09371,2.44534,0,0,25.1761,
