0212_led_land.csv
x,y,z,st_x,st_y,st_z,r,p,y,ori,ms,dpth,t
-0.00885758,2.25884,0.712379,-0.151372,2.12827,0.655543,-0.0418707,0.279126,-2.6402,2.63947,0.017648,1.52514,5.51224,
-0.0284073,2.25589,0.71058,-0.166185,2.12736,0.65563,-0.0453675,0.266084,-2.62168,2.6205,0.0189526,1.52549,5.53496,
-0.058359,2.23905,0.703153,-0.18096,2.12625,0.655794,-0.0761244,0.253948,-2.69789,2.69221,0.0167603,1.52594,5.5549,
-0.0743932,2.24199,0.70392,-0.195751,2.12448,0.655937,-0.0475144,0.247549,-2.64139,2.63958,0.0159702,1.52676,5.57481,
-0.087691,2.24243,0.708196,-0.210096,2.12263,0.6561,-0.0290907,0.314057,-2.62862,2.63058,0.0155578,1.52658,5.59287,
-0.0919531,2.25027,0.709086,-0.239305,2.11904,0.655846,-0.0361622,0.277535,-2.61636,2.61661,0.0180936,1.52709,5.61449,
-0.105546,2.25078,0.706105,-0.255606,2.1162,0.655517,-0.0378049,0.264122,-2.59223,2.59226,0.0178614,1.52793,5.63676,
-0.125563,2.24714,0.707054,-0.267951,2.11416,0.655725,-0.0262097,0.280267,-2.58363,2.58563,0.0170004,1.52774,5.65751,
-0.128129,2.24764,0.709405,-0.281989,2.11174,0.655786,-0.0157285,0.289081,-2.57285,2.5767,0.0166631,1.52792,5.67659,
-0.165621,2.23615,0.708582,-0.281989,2.11174,0.655786,-0.0203933,0.36591,-2.56826,2.57441,0.0171411,1.52801,5.69728,
-0.167648,2.24281,0.707647,-0.310492,2.10675,0.655541,-0.0225186,0.311237,-2.58105,2.58455,0.0158103,1.52827,5.71583,
-0.191147,2.23642,0.703586,-0.314409,2.10568,0.655574,-0.00249194,0.315596,-2.56734,2.57428,0.0154552,1.5289,5.73375,
-0.201331,2.24394,0.708154,-0.338652,2.10114,0.655174,0.00570778,0.342563,-2.4988,2.50951,0.0175912,1.52923,5.75368,
-0.21822,2.23836,0.704092,-0.352617,2.09786,0.655032,-0.0157773,0.310922,-2.5281,2.53332,0.0185552,1.53004,5.77902,
-0.22877,2.24323,0.705394,-0.352617,2.09786,0.655032,0.000403208,0.296074,-2.5017,2.50901,0.0157678,1.52993,5.79806,
